z1_cave_depth_pct,z1_cave_symmetry,z1_c2_vs_c1,z1_neckline_height,z1_pattern_length,z1_decline_magnitude,z1_decline_bars,z1_higher_low,z4_spring_depth,z4_spring_present,z2_c2_vs_fib382,z2_c2_vs_fib500,z2_c2_vs_fib618,z2_fib_alignment,z3_rvol_c2,z3_volume_trend,z3_c2_vol_vs_c1,z3_vol_declining,z3_obv_slope,z3_rsi_c2,z3_rsi_c1,z3_rsi_divergence,z3_rsi_oversold,z3_macd_c2,z3_macd_rising,z4_atr_c2,z4_atr_pct,z4_atr_compression,z4_nr4,z4_nr7,z4_bb_width,z5_rs_rank_c2,z5_rs_rank_c1,z5_rs_improving,z5_price_vs_sma50,z5_price_vs_sma200,z5_sma50_slope,z6_c2_body_ratio,z6_c2_lower_wick,z6_c2_is_bullish,z6_pattern_bars,z6_pattern_too_short,z6_pattern_too_long,ticker,c1_date,c1_idx,c2_idx,label,outcome,bars_to_breakout,max_gain,max_loss
0.067745,0.971306,-0.028694,0.072667,18.0,0.122289,60.0,1.0,0.028694,1.0,1.012861,0.894861,0.776861,0.776861,1.357014,0.3355,1.545831,0.0,-0.026327,32.268403,21.172519,11.095884,1.0,-1.172007,0.0,3.219752,0.036087,1.359272,0.0,0.0,0.110607,50.0,50.0,0.0,-0.077575,-0.153044,-0.015033,0.312775,0.484582,1.0,18.0,0.0,0.0,ABT,2022-09-27,3205,3223,1,breakout,23,0.1153,0.0
0.048602,0.886349,-0.113651,0.051085,60.0,0.131959,60.0,1.0,0.11365,1.0,2.842739,2.724739,2.606739,2.606739,1.524656,-0.121525,1.269629,0.0,-0.072159,17.905235,48.740628,-30.835393,1.0,-0.411697,0.0,0.671477,0.026894,0.996385,0.0,0.0,0.091159,50.0,50.0,0.0,-0.094614,-0.156408,-0.015255,0.903508,0.065788,0.0,60.0,0.0,0.0,ACGL,2018-01-11,2020,2080,0,cave1_violated,-1,0.0129,0.0
0.129112,0.93825,-0.06175,0.148253,9.0,0.129111,60.0,1.0,0.063281,1.0,1.034517,0.916517,0.798517,0.798517,0.478206,0.130725,0.451365,1.0,-0.015751,27.720841,30.743663,-3.022822,1.0,-2.526911,0.0,1.345107,0.019235,0.855825,1.0,1.0,0.190591,50.0,50.0,0.0,-0.102915,-0.039483,-0.018653,0.5,0.362066,1.0,9.0,1.0,0.0,ACGL,2023-12-13,3510,3519,0,cave1_violated,-1,0.0071,0.0
0.218238,0.889225,0.110775,0.279161,68.0,0.229823,60.0,1.0,0.029064,1.0,0.221187,0.103187,0.014813,0.014813,0.819033,-0.142913,0.204403,1.0,-0.053873,26.137012,23.679803,2.457209,1.0,-0.42244,0.0,1.143898,0.027414,0.900247,0.0,0.0,0.147584,50.0,50.0,0.0,-0.042556,-0.02193,0.018067,0.580953,0.257143,0.0,68.0,0.0,0.0,ACN,2011-08-18,410,478,0,timeout,-1,0.1061,0.0352
0.146157,0.935903,-0.064097,0.171175,55.0,0.156219,60.0,1.0,0.064097,1.0,0.99245,0.87445,0.75645,0.75645,1.061194,0.364637,1.349081,0.0,-0.029895,14.656976,38.848098,-24.191122,1.0,-10.064361,0.0,6.995279,0.028698,1.071357,0.0,0.0,0.177252,50.0,50.0,0.0,-0.127977,-0.18544,-0.00445,0.350504,0.231802,0.0,55.0,0.0,0.0,ACN,2022-07-11,3150,3205,0,cave1_violated,-1,0.0218,0.0
0.111569,0.949288,-0.050712,0.12558,63.0,0.157553,60.0,1.0,0.070522,1.0,1.02182,0.90382,0.78582,0.78582,1.854717,0.977656,1.735283,0.0,-0.011415,19.841924,24.844682,-5.002758,1.0,-2.464142,0.0,9.408835,0.038569,1.22507,0.0,0.0,0.157446,50.0,50.0,0.0,-0.08498,-0.122465,0.013166,0.768317,0.122771,0.0,63.0,0.0,0.0,ACN,2022-09-20,3200,3263,0,cave1_violated,-1,0.0255,0.0
0.116616,0.952334,0.047666,0.132011,39.0,0.141517,60.0,1.0,0.024992,1.0,0.256922,0.138922,0.020922,0.020922,1.234753,-0.112362,0.926989,1.0,-0.015599,24.737993,22.576159,2.161834,1.0,-2.003483,0.0,4.792016,0.01889,1.070059,1.0,0.0,0.091775,50.0,50.0,0.0,-0.024808,-0.05004,-0.001203,0.188612,0.451965,1.0,39.0,0.0,0.0,ACN,2023-03-14,3320,3359,1,breakout,7,0.0911,0.0
0.046407,0.998135,-0.001865,0.048665,46.0,0.20452,60.0,1.0,0.035981,1.0,0.65633,0.53833,0.42033,0.42033,0.826285,-0.144005,0.553618,1.0,-0.006493,40.397079,37.007951,3.389128,0.0,-1.279703,0.0,5.401976,0.022434,0.913311,0.0,0.0,0.062002,50.0,50.0,0.0,-0.013027,-0.158504,-0.006789,0.383877,0.239923,0.0,46.0,0.0,0.0,ACN,2025-09-17,3950,3996,1,breakout,6,0.0691,0.0
0.073009,0.931325,-0.068675,0.078759,60.0,0.127967,60.0,1.0,0.107056,1.0,1.489964,1.371964,1.253964,1.253964,1.540544,0.08923,0.752562,1.0,-0.071336,30.761515,16.335594,14.42592,1.0,-0.990326,1.0,2.728066,0.038532,1.060526,0.0,0.0,0.135118,50.0,50.0,0.0,-0.062379,-0.116539,-0.000402,0.594736,0.047369,0.0,60.0,0.0,0.0,ADI,2018-10-05,2205,2265,0,cave1_violated,-1,0.0243,0.0
0.217186,0.932356,0.067644,0.277442,61.0,0.163527,60.0,1.0,0.015373,1.0,0.374188,0.256188,0.138188,0.138188,1.768426,0.143408,1.436386,0.0,-0.084071,27.477703,32.44412,-4.966417,1.0,-1.580831,0.0,2.937747,0.031817,0.987043,0.0,0.0,0.153049,50.0,50.0,0.0,-0.078947,0.016008,0.011757,0.741426,0.118733,0.0,61.0,0.0,0.0,ADI,2019-05-29,2365,2426,0,timeout,-1,0.1246,0.0
